Judul Berita,Link Berita,Link Gambar
"Pilu Muara Angke Dilahap Api Kala Syahdu Takbir, Hingga Lupa Lebaran",https://www.cnnindonesia.com/nasional/20230423110100-20-941127/pilu-muara-angke-dilahap-api-kala-syahdu-takbir-hingga-lupa-lebaran,https://akcdn.detik.net.id/visual/2023/04/22/kebakaran-hanguskan-290-rumah-di-muara-angke-saat-idul-fitri-11_169.jpeg?w=280&q=90
"VIDEO: Restoran di Madrid Terbakar, 10 Luka dan 2 Tewas",https://www.cnnindonesia.com/internasional/20230423073014-139-941077/video-restoran-di-madrid-terbakar-10-luka-dan-2-tewas,https://akcdn.detik.net.id/visual/2023/04/23/thumbnail-video_169.jpeg?w=280&q=90
"Fakta-fakta Kebakaran di Muara Angke, Isu Korsleting Hingga Nol Korban",https://www.cnnindonesia.com/nasional/20230422205108-20-941036/fakta-fakta-kebakaran-di-muara-angke-isu-korsleting-hingga-nol-korban,https://akcdn.detik.net.id/visual/2023/04/22/kebakaran-hanguskan-290-rumah-di-muara-angke-saat-idul-fitri-12_169.jpeg?w=280&q=90
"2 Orang Tewas akibat Kebakaran di Restoran Spanyol, 10 Luka-luka",https://www.cnnindonesia.com/internasional/20230423014541-134-941049/2-orang-tewas-akibat-kebakaran-di-restoran-spanyol-10-luka-luka,https://akcdn.detik.net.id/visual/2020/01/01/2ab612fd-1f1a-4633-829b-795f0b6f1a1d_169.jpeg?w=280&q=90
"219 Rumah Terbakar di Muara Angke, Petugas Sebut Nihil Korban Jiwa",https://www.cnnindonesia.com/nasional/20230422182429-20-941009/219-rumah-terbakar-di-muara-angke-petugas-sebut-nihil-korban-jiwa,https://akcdn.detik.net.id/visual/2020/01/01/2ab612fd-1f1a-4633-829b-795f0b6f1a1d_169.jpeg?w=280&q=90
"219 Rumah Terbakar di Muara Angke, Ratusan Warga Mengungsi Sementara",https://www.cnnindonesia.com/nasional/20230422174638-20-941001/219-rumah-terbakar-di-muara-angke-ratusan-warga-mengungsi-sementara,https://akcdn.detik.net.id/visual/2023/04/22/kebakaran-hanguskan-290-rumah-di-muara-angke-saat-idul-fitri-2_169.jpeg?w=280&q=90
"Kebakaran Muara Angke, 162 Warga Dievakuasi",https://www.cnnindonesia.com/nasional/20230422181112-20-941005/kebakaran-muara-angke-162-warga-dievakuasi,https://akcdn.detik.net.id/visual/2023/04/22/kebakaran-hanguskan-290-rumah-di-muara-angke-saat-idul-fitri-11_169.jpeg?w=280&q=90
FOTO: Si Jago Merah Lahap Ratusan Rumah di Muara Angke Saat Lebaran,https://www.cnnindonesia.com/nasional/20230422145806-22-940942/foto-si-jago-merah-lahap-ratusan-rumah-di-muara-angke-saat-lebaran,https://akcdn.detik.net.id/visual/2023/04/22/kebakaran-hanguskan-290-rumah-di-muara-angke-saat-idul-fitri-15_169.jpeg?w=280&q=90
VIDEO: Situasi Terkini Ratusan Rumah Muara Angke Usai Terbakar,https://www.cnnindonesia.com/nasional/20230422144619-24-940938/video-situasi-terkini-ratusan-rumah-muara-angke-usai-terbakar,https://akcdn.detik.net.id/visual/2023/04/22/thumbnail-video-5_169.jpeg?w=280&q=90
"Kebakaran Hanguskan 290 Rumah di Muara Angke, Diduga dari Korsleting",https://www.cnnindonesia.com/nasional/20230422120940-20-940887/kebakaran-hanguskan-290-rumah-di-muara-angke-diduga-dari-korsleting,https://akcdn.detik.net.id/visual/2023/04/22/kebakaran-muara-angke_169.jpeg?w=280&q=90
7 Rumah di Surabaya Terbakar di Malam Takbiran,https://www.cnnindonesia.com/nasional/20230421205151-20-940763/7-rumah-di-surabaya-terbakar-di-malam-takbiran,https://akcdn.detik.net.id/visual/2017/01/29/b05d3386-af33-4f1e-91fa-3c0f499dc9b0_169.jpg?w=280&q=90
Kebakaran di Senayan City Disebut Berasal dari Kabel Listrik,https://www.cnnindonesia.com/nasional/20230420214441-20-940378/kebakaran-di-senayan-city-disebut-berasal-dari-kabel-listrik,https://akcdn.detik.net.id/visual/2019/10/22/0435c711-50f0-44f3-8720-eba761ac1e91_169.jpeg?w=280&q=90
Kesaksian Pengunjung Senayan City: Asap Ngebul dari Restoran di LG,https://www.cnnindonesia.com/nasional/20230420201315-20-940370/kesaksian-pengunjung-senayan-city-asap-ngebul-dari-restoran-di-lg,https://akcdn.detik.net.id/visual/2019/12/03/8475b1f4-5e67-4883-9ac9-9977d5f458c1_169.jpeg?w=280&q=90
VIDEO: Momen Evakuasi Pengunjung saat Kebakaran di Senayan City,https://www.cnnindonesia.com/nasional/20230420194025-24-940355/video-momen-evakuasi-pengunjung-saat-kebakaran-di-senayan-city,https://akcdn.detik.net.id/visual/2023/04/20/thumbnail-video-8_169.jpeg?w=280&q=90
